timestamp_ns,busv,current,power,soc,hall_speed,int_r,v_unloaded,drain_time,max_time
1779638351893091622,12.348,1.4825,904.525,74.15584478787744,18.0775,43.22952031192291,12.38311689575755,1.77963724501912e+18,1.7796387487110513e+18
1779638352293198104,11.58,19.965,1121.975,74.22936303932008,17.8675,42.99553548343037,12.384587260786402,1.7796373695106624e+18,1.7796387025474038e+18
1779638353093770034,10.392,48.715,449.125,74.03711642509475,18.0425,42.08414291872736,12.380742328501896,1.7796374405627732e+18,1.7796386763500012e+18
1779638353493893206,10.324,48.6325,1370.6,74.05942311108022,18.34,42.153551827819406,12.381188462221605,1.7796375037025357e+18,1.779638653161165e+18
1779638353894318369,10.308,49.4325,905.925,74.03731244127698,18.8475,42.09471691731444,12.38074624882554,1.779637558348489e+18,1.7796386331970578e+18
1779638354494920200,10.232,50.15,1126.25,74.04615841298074,19.162499999999998,42.238153654567135,12.380923168259615,1.7796376055474947e+18,1.7796386160435238e+18
1779638355495397020,12.224,1.5475,1276.875,73.69755114191587,19.7575,42.05997396923653,12.373951022838318,1.7796376332820872e+18,1.7796386062571348e+18
1779638355895707755,12.24,1.5675,619.9,73.3953652876531,19.7225,41.90551413222273,12.367907305753063,1.7796376468326715e+18,1.7796386018080653e+18
1779638356296049782,12.26,1.5825,253.375,73.12088443086705,19.5125,41.765487528683764,12.362417688617342,1.7796376518711416e+18,1.7796386005914988e+18
1779638356696300887,12.272,1.4625,773.225,72.8598068736976,19.5125,41.63196676676418,12.357196137473952,1.77963763704057e+18,1.7796386067116012e+18
1779638357096647984,12.08,5.85,721.275,72.55652825088842,19.2675,41.48619288688776,12.351130565017769,1.779637604662097e+18,1.7796386193634115e+18
1779638357496893893,11.464,20.4825,562.75,72.37110509100803,19.0925,41.45087728583655,12.347422101820161,1.779637544387135e+18,1.779638642278159e+18
1779638357897100692,12.124,3.53,78.975,72.07855674261613,19.075,41.35643754664084,12.341571134852323,1.779637448708917e+18,1.779638678325994e+18
1779638358297295958,12.256,1.6325,241.0,71.99725347222639,19.022499999999997,41.363628468568926,12.339945069444529,1.7796373240368486e+18,1.779638725138111e+18
1779638358697698415,12.28,1.5325,735.45,72.00126114241331,18.689999999999998,41.411329551362606,12.340025222848267,1.7796371722965448e+18,1.7796387820177715e+18
1779638359097889416,12.3,1.5675,606.0,72.09738319546392,18.689999999999998,41.334195307671536,12.341947663909279,1.7796369876859663e+18,1.7796388510536768e+18
1779638360099344769,11.724,16.15,995.325,72.25199046244163,17.709999999999997,41.18376509050777,12.345039809248833,1.7796367579751032e+18,1.7796389367602563e+18
1779638360500207985,10.752,39.585,1399.075,72.37359013405678,17.709999999999997,41.12336296976051,12.347471802681136,1.7796364726945756e+18,1.7796390429558034e+18
1779638360900581990,10.444,45.4825,992.825,72.43939070039298,17.849999999999998,41.2590522518579,12.34878781400786,1.779636087069166e+18,1.7796391862008916e+18
1779638361300786558,10.504,44.065,1391.45,72.44527458682465,18.0775,41.33373935820373,12.348905491736494,1.7796354802186478e+18,1.7796394111917138e+18
1779638361700935811,12.224,1.5175,969.55,72.20716833669199,18.1825,41.2210410323621,12.34414336673384,1.77963412610229e+18,1.779639912834024e+18
1779638362101087962,12.256,1.5475,1320.425,72.06500063861928,17.8325,41.153807256335426,12.341300012772386,1.779629012776796e+18,1.7796418053859085e+18
1779638362501325261,12.272,1.5175,752.8,71.9207185441612,17.622500000000002,41.08550830243299,12.338414370883225,1.7796618184424886e+18,1.7796296681024852e+18
1779638362901581010,12.012,7.6325,658.95,71.70061193340763,17.622500000000002,40.984798892066785,12.334012238668153,1.7796432336150423e+18,1.7796365445678643e+18
1779638363301713167,10.396,46.065,372.55,71.4823949828326,17.01,41.005840762092554,12.329647899656653,1.779640967439475e+18,1.7796373834430548e+18
1779638363702201567,11.22,24.7825,1136.925,71.04553748521381,17.255,40.911467695360834,12.320910749704277,1.7796400232825958e+18,1.7796377332050575e+18
1779638364102446760,12.0,6.35,192.8,70.706315236694,17.255,40.84245230184839,12.31412630473388,1.7796395502520878e+18,1.7796379086246141e+18
1779638364502927973,10.428,46.1,157.175,70.76732202885479,16.695,41.058105679280956,12.315346440577096,1.7796393067839683e+18,1.779637999114022e+18
1779638364903102148,10.456,43.9825,479.65,70.79792238636225,16.555,41.21767991395916,12.315958447727246,1.7796391533250476e+18,1.7796380563342556e+18
1779638365303400415,10.444,43.5325,1463.775,70.87027745471823,16.8,41.52986885741767,12.317405549094365,1.7796390539196244e+18,1.7796380935591293e+18
1779638365703786778,10.224,49.35,1190.275,70.9157547029087,16.8,41.6693985830621,12.318315094058175,1.7796389813414313e+18,1.7796381208703808e+18
