timestamp_ns,busv,current,power,hall_speed
1778785027982992712,10.248,44.065,735.45,19.145
1778785028583944681,10.184,44.235,606.0,19.599999999999998
1778785028984346469,10.308,42.9825,210.95,19.985
1778785029385033106,10.24,43.715,643.75,20.265
1778785029785156535,10.308,42.5675,326.15,20.5275
1778785030185453864,10.364,40.965,995.325,20.825
1778785030585989999,10.396,40.6175,1399.075,21.07
1778785030986598892,10.444,39.2175,992.825,21.349999999999998
1778785031387107615,10.456,37.8825,1391.45,21.560000000000002
1778785031787850721,10.288,42.0825,969.55,21.8225
1778785032188588667,10.348,41.5825,1320.425,22.12
1778785032588843761,10.368,40.5825,752.8,22.400000000000002
1778785032989024363,10.376,40.2675,658.95,22.61
1778785033389711093,12.084,1.8975,372.55,22.9075
1778785033790152679,12.124,2.0175,1136.925,22.925
1778785034190367496,12.152,1.9675,192.8,22.6975
1778785034590972922,12.156,1.9475,588.375,22.522499999999997
1778785034990540365,12.172,1.9125,157.175,22.435000000000002
1778785035390780530,12.18,1.9675,479.65,22.189999999999998
1778785035791531612,12.196,1.9975,1463.775,22.0675
1778785036192293193,12.2,2.4475,1190.275,21.8225
1778785036592727826,12.204,2.0325,355.625,21.665000000000003
1778785036993158862,12.212,1.9475,1085.275,21.4725
1778785037393891599,12.216,1.8975,35.175,21.42
1778785037794594178,12.216,1.865,107.325,21.3325
1778785038195109705,12.232,1.9975,327.525,21.14
1778785038595465859,12.232,1.9825,999.525,21.14
1778785038995599953,12.236,2.0325,1411.9,21.0175
1778785039396093598,12.24,1.9675,1031.975,20.755
1778785039796146388,12.244,2.0825,1510.925,20.5275
1778785040196372537,12.256,2.0325,1334.175,20.334999999999997
1778785040596811149,12.26,2.0675,794.775,20.195
1778785040997491646,12.268,1.9125,787.05,19.88
1778785041398098785,12.268,1.9825,763.475,19.6175
1778785041798353467,12.272,2.0675,691.525,19.6175
1778785042198468627,12.276,2.0175,471.95,19.32
1778785042598594264,12.288,2.0175,1440.275,18.97
1778785042998786289,12.284,2.0475,1118.55,18.55
1778785043398953135,12.284,2.1,136.725,18.147499999999997
1778785043799078112,12.288,2.0325,417.25,18.147499999999997
1778785044199259197,12.288,1.865,1273.325,17.622500000000002
1778785044599926318,12.3,1.865,609.075,17.255
1778785044999955254,11.688,13.1325,220.325,16.7825
1778785045400548878,10.952,30.065,672.375,16.7825
1778785045801280512,10.744,35.15,413.525,16.415000000000003
1778785046201996318,10.224,46.2825,1261.975,16.6775
1778785046602176329,10.292,47.95,574.425,17.01
1778785047002841237,10.24,46.35,114.6,17.01
1778785047403498892,10.244,46.1825,349.725,17.1675
1778785047804061176,10.14,47.7175,1067.275,17.465
1778785048204747275,10.188,46.935,1618.65,17.8325
1778785048605315030,10.216,46.3675,24.525,18.147499999999997
1778785049005922049,10.192,46.7175,74.825,18.147499999999997
1778785049806729217,10.368,42.665,696.775,18.935000000000002
1778785050207386892,10.34,43.685,487.975,19.4425
1778785050608107616,10.352,43.4475,1489.175,19.6175
1778785051008743529,10.316,43.715,1267.8,19.9675
1778785051409423587,11.16,24.065,592.2,20.23
1778785051810099586,11.36,19.815,168.85,20.352500000000003
1778785052210718358,11.324,21.0975,515.275,20.352500000000003
1778785052811714457,11.292,21.835,1572.475,20.352500000000003
1778785053212220025,11.24,23.3675,1522.0,20.334999999999997
1778785053612595876,11.312,20.465,1367.975,20.3175
1778785054013509205,12.196,2.1,897.925,20.3175
1778785054814556096,12.256,1.9475,85.7,20.125
1778785055215369796,12.256,1.8825,261.525,19.8625
1778785055616034785,12.26,1.9475,798.1,19.4425
1778785056016785976,12.276,1.9125,797.2,19.127499999999998
1778785056817361867,12.296,1.9475,786.05,19.005
1778785057218020563,12.316,1.9475,760.425,18.9525
1778785057618439756,12.316,1.9325,682.225,18.8475
1778785058019100707,12.324,1.9125,443.575,18.689999999999998
1778785058419589433,12.332,1.9675,1353.675,18.689999999999998
1778785058819985202,12.336,1.8825,854.275,18.5675
1778785059220353930,12.336,1.9675,968.625,18.3575
1778785059620492413,12.332,1.9675,1317.6,18.1825
1778785060021225340,12.352,1.8975,744.175,17.99
1778785060421636839,12.352,1.9675,632.625,17.99
1778785061022757796,12.184,5.4,292.2,17.727500000000003
1778785061423177941,12.26,3.665,891.7,17.395
1778785061824089286,12.28,3.3475,1082.85,17.0975
1778785062224393182,12.252,4.0,27.775,17.0975
1778785062624970674,12.272,3.3975,84.75,16.8175
1778785063025218875,12.26,3.7825,258.625,16.537499999999998
1778785063425654329,12.34,2.3825,789.25,16.537499999999998
1778785063826189112,12.348,2.4475,770.175,16.275000000000002
1778785064226595751,12.344,2.63,711.975,16.03
1778785064627007612,12.348,2.5475,534.375,15.785
1778785065027492149,11.756,13.565,1630.775,15.785
1778785065428152720,10.456,44.65,61.525,15.557500000000001
1778785065828570312,10.404,45.15,187.75,15.8725
1778785066229144578,12.0,7.73,572.95,15.8725
1778785066629842198,12.196,4.4325,110.1,16.2925
1778785067030288714,12.212,3.9475,335.975,16.24
1778785067430540662,12.28,2.9475,1025.3,16.24
1778785067830715964,12.348,1.8325,1490.55,15.942499999999999
1778785068231240868,12.352,1.815,1271.975,15.75
1778785068631900527,12.364,1.9325,604.95,15.75
1778785069032591604,12.368,1.865,207.75,15.575000000000001
1778785069433179799,12.372,1.9675,634.0,15.295
1778785069833321136,12.376,1.9125,296.4,15.295
1778785070233375981,12.38,1.9475,904.525,14.98
1778785070634196675,12.392,1.9325,1121.975,14.629999999999999
1778785071034780789,12.392,1.9975,147.175,14.629999999999999
1778785071435474443,12.396,1.9475,449.125,14.280000000000001
1778785071835902353,12.4,1.9825,1370.6,14.280000000000001
1778785072236604192,12.404,1.9125,905.925,14.0175
1778785072636724470,12.404,2.0175,1126.25,14.0175
1778785073036662163,12.4,1.9825,160.225,13.7025
1778785073436829472,12.408,1.9975,488.95,13.335
1778785073837429948,12.42,1.9325,1492.15,13.335
1778785074238004015,12.42,2.0175,1276.875,12.9325
1778785074638214313,12.424,1.9475,619.9,12.9325
1778785075038447566,12.424,1.9675,253.375,12.5475
1778785075439144806,12.42,1.9825,773.225,12.5475
1778785075839754070,12.424,1.9675,721.275,12.1625
1778785076240411735,12.424,1.9975,562.75,12.1625
1778785076640841308,12.42,1.78,78.975,11.865
1778785077041449769,12.424,1.73,241.0,11.865
1778785077442208045,12.42,1.715,735.45,11.707500000000001
1778785077842582584,12.428,1.78,606.0,11.707500000000001
1778785078243314069,12.432,1.665,210.95,11.6025
1778785078643655916,12.316,3.9175,643.75,11.6025
1778785079044139582,12.316,3.4175,326.15,11.445
1778785079444925770,11.384,23.15,995.325,11.445
1778785079844942002,10.876,34.6825,1399.075,11.69
1778785080245318385,10.86,33.6825,992.825,11.69
1778785080646086750,10.852,34.415,1391.45,12.3025
1778785081046651768,10.796,35.0475,969.55,12.3025
1778785081446876576,10.756,35.9975,1320.425,12.950000000000001
1778785081847574876,10.732,36.285,752.8,13.4925
1778785082248504977,10.748,36.2,658.95,13.4925
1778785082649071718,10.732,36.785,372.55,14.052499999999998
1778785083049590140,10.792,34.4825,1136.925,14.052499999999998
1778785083450113721,10.82,34.385,192.8,14.612499999999999
1778785083850837481,10.812,33.85,588.375,15.032499999999999
1778785084251239482,10.784,34.1325,157.175,15.4525
1778785084651369398,10.728,35.335,479.65,15.4525
1778785085051860788,10.816,33.365,1463.775,15.715
1778785085452592645,10.936,32.2675,1190.275,16.1875
1778785086654246304,11.132,25.165,35.175,17.0975
1778785087054946049,11.48,18.065,107.325,17.377499999999998
1778785087455381674,11.68,13.9975,327.525,17.5
1778785087856034520,12.208,3.3975,999.525,17.5
1778785088256736087,11.636,2.8475,1411.9,17.3075
1778785088657454727,12.22,3.3975,1031.975,17.115
1778785089057855285,12.256,2.815,1510.925,17.0625
1778785089458282474,12.176,4.9,1334.175,17.0625
1778785089858624803,11.544,17.4175,794.775,16.852500000000003
1778785090259605800,10.664,36.9675,787.05,16.8875
1778785090660223419,10.692,36.715,763.475,17.22
1778785091061023213,10.788,34.7325,691.525,17.22
1778785091461554338,10.716,35.815,471.95,17.57
1778785091862307303,10.808,33.915,1440.275,17.99
1778785092262842498,10.788,34.7175,1118.55,18.3925
1778785092662949179,10.816,33.935,136.725,18.724999999999998
1778785093063102320,10.756,34.6675,417.25,19.0575
1778785093463281721,10.852,33.0,1273.325,19.3025
1778785093863430844,10.88,32.535,609.075,19.564999999999998
1778785094263478815,10.82,33.95,220.325,19.7925
1778785094663699794,10.78,34.78,672.375,20.02
1778785095063869045,10.848,34.0,413.525,20.195
1778785095464239015,10.884,32.5,1261.975,20.352500000000003
1778785095864904311,10.932,31.965,574.425,20.615
1778785096265489444,10.944,31.45,114.6,20.772499999999997
1778785096666187220,10.996,29.6325,349.725,20.772499999999997
1778785097066481513,11.0,29.9325,1067.275,20.965
1778785097467214876,11.22,24.515,1618.65,21.4375
1778785097867575816,11.22,25.55,24.525,21.4375
1778785098268207626,11.204,25.2825,74.825,21.63
1778785098668660899,11.22,25.465,228.325,21.787499999999998
1778785099069319992,11.176,26.5,696.775,22.05
1778785099469471836,11.192,25.03,487.975,22.224999999999998
1778785099869498653,11.32,22.8325,1489.175,22.47
1778785100270247576,11.36,21.4325,1267.8,22.540000000000003
1778785100670664932,12.276,1.8975,592.2,22.4525
1778785101071567806,12.312,1.8825,168.85,22.3475
1778785101471884002,12.32,1.9325,515.275,22.3475
1778785101872548876,12.328,2.0475,1572.475,22.1725
1778785102273318048,12.332,1.815,1522.0,21.98
1778785102674045591,12.352,1.865,1367.975,21.8575
1778785103074628210,12.348,2.13,897.925,21.735
1778785103475559118,12.36,1.815,1101.825,21.647499999999997
1778785103876306539,12.372,1.8975,85.7,21.560000000000002
1778785104276748681,12.38,1.8825,261.525,21.385
1778785104676955509,12.38,1.9475,798.1,21.2975
1778785105077435033,12.38,1.9125,797.2,21.1575
1778785105478229583,12.392,1.8825,794.45,20.93
1778785105878809135,12.396,1.9325,786.05,20.7375
1778785106279010283,12.392,1.8975,760.425,20.7375
1778785106679077675,12.408,1.8975,682.225,20.5975
1778785107079235861,12.408,1.865,443.575,20.352500000000003
1778785107479400078,12.412,1.865,1353.675,20.1425
1778785107879530440,12.42,1.8325,854.275,19.9675
1778785108480553139,12.412,1.8975,968.625,19.67
1778785108880861198,12.42,1.9475,1317.6,19.477500000000003
1778785109281294575,12.424,1.8975,744.175,19.477500000000003
1778785110082171496,12.424,1.9125,632.625,19.32
1778785110482603920,12.424,1.9475,292.2,19.215
1778785110883247466,12.432,1.9475,891.7,18.97
1778785111283649522,12.436,1.9675,1082.85,18.795
1778785111684407251,12.432,2.23,27.775,18.795
1778785112084744905,12.44,1.9125,84.75,18.5325
1778785112484957853,12.444,1.9975,258.625,18.2
1778785112885634561,12.46,1.9125,789.25,17.955
1778785113486434328,12.448,1.9675,770.175,17.7625
1778785113886871843,12.448,2.0175,711.975,17.7625
1778785114287527058,12.452,1.9825,534.375,17.5525
1778785114687988988,12.452,1.9975,1630.775,17.325
1778785115087993603,12.46,1.9125,61.525,17.0275
1778785115488534903,12.46,1.8975,187.75,17.0275
1778785115888882947,12.456,2.0475,572.95,16.7825
1778785116289529106,12.456,1.9825,110.1,16.2575
1778785116689979754,12.46,1.815,335.975,16.2575
1778785117090257115,12.46,1.8325,1025.3,15.819999999999999
1778785117490701593,12.468,1.9125,1490.55,15.819999999999999
1778785117891089363,12.464,1.9675,1271.975,15.33
1778785118291582763,12.468,1.9475,604.95,14.84
1778785118692164891,12.464,1.8975,207.75,14.84
1778785119092272420,12.472,1.9125,634.0,14.4025
1778785119492701628,12.472,2.0475,296.4,14.0175
1778785119892576668,12.472,1.9825,904.525,14.0175
1778785120293327444,12.472,1.9825,1121.975,13.7725
1778785120694002207,12.476,2.2,147.175,13.7725
1778785121094551995,12.48,1.9825,449.125,13.44
1778785121495018173,12.484,1.9475,1370.6,13.44
1778785121895161069,12.492,1.9475,905.925,13.125
1778785122295838627,12.48,1.9125,1126.25,13.125
1778785122696512910,12.488,1.9475,160.225,12.88
1778785123097022309,12.488,1.8825,488.95,12.88
1778785123497584801,12.496,1.9825,1492.15,12.74
1778785123898008088,12.5,1.9475,1276.875,12.74
1778785124298733918,12.488,1.9475,619.9,12.4425
1778785124698976593,12.492,1.9825,253.375,12.4425
1778785125099319098,12.5,1.9675,773.225,12.092500000000001
1778785125499745471,12.5,1.9675,721.275,12.092500000000001
1778785125900245414,12.508,1.9975,562.75,11.76
1778785126300984919,12.5,1.9675,78.975,11.76
1778785126701135138,12.504,1.9675,241.0,11.515
1778785127101767362,12.5,1.9475,735.45,11.515
1778785127502390477,12.5,1.9975,606.0,11.235
1778785127902868518,12.496,2.0175,210.95,11.235
1778785128303470253,12.5,2.0175,643.75,10.9725
1778785128703942404,12.512,2.4975,326.15,10.9725
1778785129104627356,12.504,2.0325,995.325,10.7275
1778785129505057256,12.504,1.9975,1399.075,10.7275
1778785129905271690,12.516,2.0675,992.825,10.4475
1778785130305949789,12.504,2.0475,1391.45,10.4475
1778785130706562886,12.516,1.9675,969.55,10.4475
